iterations = 30,,,,,iterations = 30,,,,,iterations = 30,,,,,iterations = 30,,
"number = 100000000	threads = 1	cache_line_size = 1",,,,,"number = 100000000	threads = 2	cache_line_size = 1",,,,,"number = 100000000	threads = 3	cache_line_size = 1",,,,,"number = 100000000	threads = 4	cache_line_size = 1",,
#0,266139566,264524926,,,#0,9318160112,316252095,,,#0,301451728,294617137,,,#0,304960708,300051834
#1,9274071377,270346426,,,#1,316097673,313117077,,,#1,318873827,310535228,,,#1,9317127392,313859536
#2,281465221,280292718,,,#2,319360836,315526736,,,#2,9333101954,325788741,,,#2,322401501,311815839
#3,267727602,9266797900,,,#3,9315500183,9312182044,,,#3,313691076,9310698636,,,#3,336563707,9332585493
#4,9284360076,283069030,,,#4,336517135,328839220,,,#4,342626215,334986987,,,#4,9348973135,344026409
#5,278982280,278686026,,,#5,307825512,303020887,,,#5,9295985290,289621281,,,#5,342979788,335055512
#6,271348345,267680310,,,#6,9295222064,9290080812,,,#6,326239850,9320394618,,,#6,346288257,9335357735
#7,277262542,9276297987,,,#7,291115596,287589441,,,#7,336144121,330063248,,,#7,9327098224,321971124
#8,9267453680,267036541,,,#8,279594171,275874941,,,#8,9312912671,304709396,,,#8,315495147,310856542
#9,283986400,283601891,,,#9,9327742049,9324381960,,,#9,333193370,9324802835,,,#9,323831698,9315445825
#10,300919897,9299572684,,,#10,314406854,308415553,,,#10,315611063,313330583,,,#10,9313549386,308844193
#11,9274516274,270645689,,,#11,300907899,299564290,,,#11,327976223,321251110,,,#11,324879904,314354325
#12,275207788,272140386,,,#12,9307636616,307068260,,,#12,9351141079,9343438286,,,#12,314513753,9305486346
#13,268166047,264882048,,,#13,336749747,9334409269,,,#13,301466484,297409025,,,#13,9300603897,295717977
#14,296884613,9296673509,,,#14,309100959,304259965,,,#14,310167419,305849138,,,#14,341987380,338402680
#15,9267053393,263802956,,,#15,305783702,303995220,,,#15,9308407570,9302224796,,,#15,323160234,9313794628
#16,263843499,260766327,,,#16,9291118951,9286465275,,,#16,303016531,296942700,,,#16,9329513167,324217352
#17,263694341,260883825,,,#17,324023786,319382425,,,#17,327842905,318824511,,,#17,325269755,317670718
#18,265662959,9265161522,,,#18,282518073,279085793,,,#18,9305178123,299304182,,,#18,320756943,9309671683
#19,9299440577,295506371,,,#19,9313012495,9306213251,,,#19,298276730,9291342162,,,#19,9298715196,289278196
#20,274505263,272052013,,,#20,296847290,291915445,,,#20,330158249,322441721,,,#20,324025208,317788282
#21,268274711,9265509435,,,#21,274869928,270264819,,,#21,9290464461,285613412,,,#21,305709597,298588316
#22,9293727586,293206186,,,#22,9319991407,315839306,,,#22,284627621,9279099192,,,#22,353542355,9344925822
#23,270147643,267494968,,,#23,272632344,9266352534,,,#23,322026434,320872448,,,#23,9329158791,321967812
#24,296705817,293406812,,,#24,302214031,298167840,,,#24,276039383,274883785,,,#24,297877359,287130386
#25,268128118,9264616081,,,#25,285924644,281233365,,,#25,9302486048,9298067369,,,#25,297332265,9290102397
#26,9286554608,284431426,,,#26,9287727181,9284020396,,,#26,335274008,330933401,,,#26,9315197593,310486264
#27,270372247,269866373,,,#27,309696024,305391365,,,#27,316809734,306531744,,,#27,334112456,323404972
#28,290747833,287499680,,,#28,295288048,293695271,,,#28,9284175494,275851171,,,#28,337983325,9334644455
#29,269196296,9268702210,,,#29,9291872816,9289726328,,,#29,289623465,9284691835,,,#29,9314185804,302402971
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
iterations = 30,,,,,,,,,,,,,,,,,
"number = 100000000	threads = 5	cache_line_size = 1",,,,,iterations = 30,,,,,iterations = 30,,,,,iterations = 30,,
#0,302484012,290771954,,,"number = 100000000	threads = 6	cache_line_size = 1",,,,,"number = 100000000	threads = 7	cache_line_size = 1",,,,,"number = 100000000	threads = 8	cache_line_size = 1",,
#1,335826973,325946119,,,#0,9320167578,306830708,,,#0,355556638,343469209,,,#0,313820207,297456732
#2,9294843755,286233058,,,#1,335476052,323125671,,,#1,9359909509,344481264,,,#1,9309974152,298959805
#3,293793887,9290916270,,,#2,327145104,315808933,,,#2,368413860,9356557443,,,#2,324784742,309052393
#4,341138899,329580650,,,#3,9311184188,9305006767,,,#3,9351836122,339348109,,,#3,315623467,9298654317
#5,9329149912,320024236,,,#4,292933073,282848831,,,#4,336365241,325615904,,,#4,9348319238,330299874
#6,312156639,9299749500,,,#5,313353162,301489634,,,#5,297208751,283758398,,,#5,354439761,340405424
#7,323853925,308512735,,,#6,9318302276,9303350299,,,#6,326257436,9311519578,,,#6,324225736,9307716867
#8,9303636294,292024496,,,#7,339279867,325551837,,,#7,9361586323,348006612,,,#7,9350622164,335386644
#9,309340741,9298006444,,,#8,340437586,335596912,,,#8,325138366,310615246,,,#8,336097473,318407301
#10,331140478,325159023,,,#9,9364852401,9356217975,,,#9,303536160,9289276866,,,#9,311712867,9296760618
#11,299243659,293044616,,,#10,337016824,322253902,,,#10,9307254777,294695816,,,#10,9343917338,325497553
#12,9314765280,308926977,,,#11,321296761,311623640,,,#11,344345411,334379178,,,#11,321403387,303356020
#13,337813607,9328131008,,,#12,9338036867,9329955316,,,#12,340121384,9327268096,,,#12,337828748,9328213356
#14,290443025,280522220,,,#13,306166593,294262727,,,#13,9381665267,364928993,,,#13,9373368703,360954674
#15,9299828021,289275885,,,#14,325636079,315556825,,,#14,308686277,298231918,,,#14,311530778,293037828
#16,339722207,9336058469,,,#15,9302034886,9292543792,,,#15,312347284,9292193824,,,#15,303589641,9288383539
#17,323763999,312319201,,,#16,304206683,295222034,,,#16,9358619230,348076049,,,#16,9325854914,310156452
#18,9343803061,335538604,,,#17,305253062,292319972,,,#17,341136083,328822441,,,#17,344878808,329056415
#19,335966379,9325443372,,,#18,9351005000,338246306,,,#18,323600369,9307713469,,,#18,364872777,9353758336
#20,319499625,308396161,,,#19,332446964,9325721075,,,#19,9325467445,315984749,,,#19,9331702821,325779650
#21,9323258788,314996024,,,#20,328782735,315808832,,,#20,313798510,304704830,,,#20,336937266,324866904
#22,339837906,9330421478,,,#21,9351344699,343182020,,,#21,322622006,9307546292,,,#21,362773476,9345678773
#23,352638562,339682299,,,#22,332205510,9325601167,,,#22,9331138822,317710101,,,#22,9346486151,333020214
#24,9300247457,287293730,,,#23,351545267,342300808,,,#23,328783760,318852922,,,#23,361845016,346214600
#25,302570903,9295187900,,,#24,287191183,279673977,,,#24,311278488,9292588292,,,#24,336393658,9330694906
#26,344370568,333888251,,,#25,9330809043,9319827310,,,#25,9326820111,311884641,,,#25,9331042176,312589036
#27,9298354217,291371987,,,#26,319569318,309601237,,,#26,352324312,340821553,,,#26,315117207,300095718
#28,375462155,9369158842,,,#27,342313077,331596661,,,#27,355422251,9342969103,,,#27,341766715,326230258
#29,311656803,303153669,,,#28,9312566790,9302259682,,,#28,9317309532,309349733,,,#28,9334652618,9321645671
,,,,,#29,303446371,291777988,,,#29,299516137,284690072,,,#29,343399796,329807225
,,,,,,,,,,,,,,,,,
iterations = 30,,,,,iterations = 30,,,,,iterations = 30,,,,,,,
"number = 100000000	threads = 9	cache_line_size = 1",,,,,"number = 100000000	threads = 10	cache_line_size = 1",,,,,"number = 100000000	threads = 11	cache_line_size = 1",,,,,iterations = 30,,
#0,352263839,333626244,,,#0,348419195,326114828,,,#0,9362587190,338605382,,,"number = 100000000	threads = 12	cache_line_size = 1",,
#1,9355914069,334525464,,,#1,371880070,355355112,,,#1,358313085,334877441,,,#0,334953947,319450250
#2,351788979,9333947401,,,#2,9339243921,9325346695,,,#2,381915511,9361727495,,,#1,9369548787,347644676
#3,9370397722,357127333,,,#3,330474859,314781487,,,#3,9365356771,351124752,,,#2,323209348,300401392
#4,350147020,332935043,,,#4,370346075,353640176,,,#4,384797578,369300036,,,#3,369005965,9347297525
#5,355738812,9344052090,,,#5,9370230735,9349417011,,,#5,375716046,9352390287,,,#4,9368705533,340922174
#6,9341496530,324607154,,,#6,332279122,314713118,,,#6,9350952665,335186111,,,#5,338971428,315636082
#7,355412432,341960992,,,#7,315087977,294395637,,,#7,336062745,323555164,,,#6,9363985245,9351314053
#8,330406507,9318219504,,,#8,9328578905,309300032,,,#8,9325944856,9307343401,,,#7,323659811,303509329
#9,9362961727,347467427,,,#9,343989827,9324861386,,,#9,350780226,328747773,,,#8,386236052,359961316
#10,366378372,351997725,,,#10,354173124,341021888,,,#10,365095578,343143868,,,#9,9384684322,9360970606
#11,353778400,9341916960,,,#11,9342879151,325305635,,,#11,9346343698,9318569800,,,#10,361454301,343565125
#12,9336203994,323772267,,,#12,342817583,9321456497,,,#12,326701668,309131963,,,#11,345683660,9336608192
#13,310317420,297445231,,,#13,9379773567,361019695,,,#13,337795817,319049019,,,#12,9359302460,336588140
#14,322080094,306095384,,,#14,371090274,353047877,,,#14,9386748981,9367310477,,,#13,390081184,361619271
#15,9338512951,9327070622,,,#15,352450914,9332387009,,,#15,365063873,337984169,,,#14,369308532,9352422019
#16,349845285,336279719,,,#16,9347204858,328997138,,,#16,369743457,348228890,,,#15,9334393664,316795643
#17,344512810,329880752,,,#17,367336518,348153497,,,#17,9373732149,9350126721,,,#16,372929349,354027601
#18,9355191658,9333299870,,,#18,369978875,9353039023,,,#18,384288080,368299589,,,#17,367804214,9345713058
#19,345136787,329689554,,,#19,9334167758,327705770,,,#19,348754941,326661433,,,#18,9342957295,327882430
#20,357504809,343661991,,,#20,366933706,9347501750,,,#20,9360807326,9338034160,,,#19,362693207,341999100
#21,9362819604,9348893991,,,#21,328647068,304316225,,,#21,387709789,366279160,,,#20,9329547160,9309194581
#22,339904655,330044324,,,#22,9362619620,348607173,,,#22,9377897045,359563236,,,#21,365324916,343419806
#23,9359919358,9335112179,,,#23,369480545,9354426288,,,#23,344756291,9332373867,,,#22,352402749,330284540
#24,366158099,354759627,,,#24,385336599,367608795,,,#24,320032522,299034433,,,#23,9331264302,9314214560
#25,345102310,331116241,,,#25,9380491810,362872599,,,#25,9374723424,358678523,,,#24,384421832,368747478
#26,9321999258,301603386,,,#26,355076226,9337799317,,,#26,356915611,9329413591,,,#25,360822797,340498885
#27,378268719,9369664785,,,#27,9335510038,320318660,,,#27,361594321,338418404,,,#26,9356708387,9337650429
#28,364474898,342287029,,,#28,367148174,345838748,,,#28,9349053003,327303037,,,#27,382441771,361605435
#29,9344479081,9328334267,,,#29,353825373,9336572713,,,#29,327657369,9314250297,,,#28,347743708,323226086
,,,,,,,,,,,,,,,#29,9337554206,9313674762
,,,,,,,,,,,,,,,,,
iterations = 30,,,,,iterations = 30,,,,,iterations = 30,,,,,,,
"number = 100000000	threads = 13	cache_line_size = 1",,,,,"number = 100000000	threads = 14	cache_line_size = 1",,,,,"number = 100000000	threads = 15	cache_line_size = 1",,,,,,,
#0,368986058,352639590,,,#0,376513150,358271001,,,#0,387214824,359545151,,,,,
#1,9395235714,368298575,,,#1,333054702,304292567,,,#1,380072148,353149908,,,,,
#2,363625898,9345320223,,,#2,9377686777,9349140597,,,#2,9378114293,9347348063,,,,,
#3,357576234,334425575,,,#3,345666347,329236206,,,#3,358790038,327420705,,,,,
#4,9359479795,338751024,,,#4,344334835,317325169,,,#4,9325725408,294265646,,,,,
#5,378849182,9363772181,,,#5,9377268387,9353696541,,,#5,362599821,9333283745,,,,,
#6,379092460,358187228,,,#6,355845892,333447558,,,#6,360417880,331614803,,,,,
#7,9363444446,332064711,,,#7,9350202828,328609786,,,#7,9341253430,324273663,,,,,
#8,344185979,9318614032,,,#8,406247663,9373950742,,,#8,336677564,312995571,,,,,
#9,379511277,344778192,,,#9,356629228,334719848,,,#9,341007948,9313512444,,,,,
#10,9381234486,355263526,,,#10,9406741977,380867608,,,#10,9361466501,325032917,,,,,
#11,373669383,9347072555,,,#11,390661642,9372360647,,,#11,338484290,309209659,,,,,
#12,9402869040,379249795,,,#12,9390704681,363103292,,,#12,355457047,9327022710,,,,,
#13,352791976,328631484,,,#13,353012186,331539002,,,#13,9380255455,349580074,,,,,
#14,337097662,9317517942,,,#14,382869331,9356932136,,,#14,378318566,359828300,,,,,
#15,9391429688,367998655,,,#15,9341223903,322356078,,,#15,414603427,9377375838,,,,,
#16,371875394,344486053,,,#16,383751938,361849330,,,#16,9316506327,301725601,,,,,
#17,376271761,9354137755,,,#17,369876388,9345019901,,,#17,349703802,326933824,,,,,
#18,9383570620,358555236,,,#18,9343949068,315715439,,,#18,9397794106,9365555707,,,,,
#19,362679964,332801452,,,#19,355649035,330682555,,,#19,382594231,353882019,,,,,
#20,9329360884,9320568586,,,#20,349194124,9320748639,,,#20,394710460,9369179514,,,,,
#21,368472101,346193837,,,#21,9358589910,336823219,,,#21,9376020805,347280339,,,,,
#22,364382742,344242608,,,#22,367457708,339436247,,,#22,372981316,348321359,,,,,
#23,9339188892,9317815537,,,#23,356429108,9326939298,,,#23,363432513,9327669231,,,,,
#24,367526968,344375951,,,#24,9351082524,322568665,,,#24,9390188173,362577898,,,,,
#25,319655587,300302643,,,#25,380389315,358224332,,,#25,351141641,322613863,,,,,
#26,9346010586,9327768464,,,#26,9377717524,9351117284,,,#26,9343664769,9326601798,,,,,
#27,384593594,365063086,,,#27,392749090,363440910,,,#27,380460830,353918620,,,,,
#28,360560131,331299674,,,#28,355420342,331363257,,,#28,373333753,356460275,,,,,
#29,9333080450,9310909696,,,#29,9366248810,9341806469,,,#29,9376804332,9355594985,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
iterations = 30,,,,,,,,,,,,,,,,,
"number = 100000000	threads = 16	cache_line_size = 1",,,,,,,,,,,,,,,,,
#0,353231793,327681718,,,,,,,,,,,,,,,
#1,348260385,321780212,,,,,,,,,,,,,,,
#2,9373607399,340476408,,,,,,,,,,,,,,,
#3,379642839,9351320825,,,,,,,,,,,,,,,
#4,338792514,321050340,,,,,,,,,,,,,,,
#5,9394639501,9372336961,,,,,,,,,,,,,,,
#6,369567555,341449168,,,,,,,,,,,,,,,
#7,9404856313,375408250,,,,,,,,,,,,,,,
#8,388119809,9356913951,,,,,,,,,,,,,,,
#9,381165570,343141006,,,,,,,,,,,,,,,
#10,9365872574,332946069,,,,,,,,,,,,,,,
#11,376962029,9351270755,,,,,,,,,,,,,,,
#12,9383909315,360802330,,,,,,,,,,,,,,,
#13,339332019,318786256,,,,,,,,,,,,,,,
#14,345923981,9316443675,,,,,,,,,,,,,,,
#15,9352053118,323834058,,,,,,,,,,,,,,,
#16,367048697,343838793,,,,,,,,,,,,,,,
#17,351124640,9319083617,,,,,,,,,,,,,,,
#18,9348825606,319517882,,,,,,,,,,,,,,,
#19,374274475,346894935,,,,,,,,,,,,,,,
#20,387874411,9358281706,,,,,,,,,,,,,,,
#21,9367629407,343280545,,,,,,,,,,,,,,,
#22,377855662,343177897,,,,,,,,,,,,,,,
#23,9396592098,9385851318,,,,,,,,,,,,,,,
#24,335091019,301144115,,,,,,,,,,,,,,,
#25,334504024,309174358,,,,,,,,,,,,,,,
#26,9348771488,9322151713,,,,,,,,,,,,,,,
#27,348169731,315353948,,,,,,,,,,,,,,,
#28,369502984,352499611,,,,,,,,,,,,,,,
#29,9345410726,9317805116,,,,,,,,,,,,,,,