f,0.998,,,,,,,,,
,,,,,,,,,,
s,Time New/Time Orignal,Single Thread * SpeedUp,Global 1,Global 2,Local 1,Local 2,Diff Means Global 1,Diff Means Global 2,Diff Means Local 1,Diff Means Local 2
1,1,25652225743,31682481841,30338127145,26318384686,23315495457,-6030256099,-4685901403,-666158943.7,2336730286
2,0.501,12851765097,30326496608,30675151952,21664983078,13354968599,-17474731511,-17823386855,-8813217981,-503203502.3
3,0.334666667,8584944882,29985214638,29339626471,17022191139,9670669622,-21400269756,-20754681589,-8437246258,-1085724740
4,0.2515,6451534774,30028230954,30980577481,15980746573,7659726699,-23576696179,-24529042707,-9529211799,-1208191924
5,0.2016,5171488710,30669205658,31328471453,14677725489,6325152492,-25497716949,-26156982744,-9506236780,-1153663782
6,0.168333333,4318124667,31641253497,31340917597,13003166013,5325348438,-27323128830,-27022792930,-8685041346,-1007223771
7,0.144571429,3708578922,31663892041,31658393149,12337804403,4354289163,-27955313120,-27949814227,-8629225481,-645710241.2
8,0.12675,3251419613,31026140351,31677973846,11665402556,3981325453,-27774720738,-28426554233,-8413982944,-729905840.4
9,0.112888889,2895851262,31998375846,31652305913,11332024869,3662263102,-29102524584,-28756454652,-8436173607,-766411840.9
10,0.1018,2611396581,32306607739,31998361124,11332306742,3020024278,-29695211158,-29386964543,-8720910161,-408627697.3
11,0.092727273,2378660932,32017219121,31692945271,10978066026,3003677136,-29638558189,-29314284338,-8599405093,-625016203.1
12,0.085166667,2184714559,32316649485,31993599904,10030836190,2995065896,-30131934925,-29808885345,-7846121631,-810351337.1
13,0.078769231,2020606089,31672593699,32664490496,9983638657,3006778408,-29651987610,-30643884407,-7963032567,-986172318.7
14,0.073285714,1879941687,31333530098,32320702527,9322712767,3309182469,-29453588412,-30440760840,-7442771080,-1429240783
15,0.068533333,1758032538,31019384833,32004962985,8664847696,3011420084,-29261352295,-30246930447,-6906815158,-1253387547
16,0.064375,1651362032,32317725257,32008686506,8018721258,3001348017,-30666363225,-30357324473,-6367359225,-1349985985
,,,,,,Standard Deviations,6421982874,6754998864,2081192406,872150943.5